title,overview,country,degree,funding,deadline,duration,applyUrl,officialSource,lastUpdated
Slovak Government Scholarship,"Doctoral research funding in Slovak public universities.",Slovakia,PhD,Fully Funded,April,3–4 years,https://www.vladnestipendia.sk,Slovak Ministry of Education,2026-02-06
Saudi Arabia Government Scholarship,"Fully funded scholarship for international students at Saudi public universities.",Saudi Arabia,Bachelors,Fully Funded,Rolling,Degree duration,https://studyinsaudi.moe.gov.sa,Saudi Ministry of Education,2026-02-06
Saudi Arabia Government Scholarship,"Postgraduate scholarship including tuition stipend and accommodation.",Saudi Arabia,Masters,Fully Funded,Rolling,2 years,https://studyinsaudi.moe.gov.sa,Saudi Ministry of Education,2026-02-06
Ireland Government Scholarship,"Competitive funding for high-achieving international postgraduate students.",Ireland,Masters,Fully Funded,March,1 year,https://hea.ie,Government of Ireland,2026-02-06
Ireland Government Scholarship,"Doctoral-level funding for international research candidates.",Ireland,PhD,Fully Funded,March,3–4 years,https://hea.ie,Government of Ireland,2026-02-06
Taiwan Government Scholarship,"Scholarship supporting international students studying in Taiwan.",Taiwan,Bachelors,Fully Funded,March,Degree duration,https://www.studyintaiwan.org,Taiwan Ministry of Education,2026-02-06
Taiwan Government Scholarship,"Postgraduate funding for master’s programs in Taiwan.",Taiwan,Masters,Fully Funded,March,2 years,https://www.studyintaiwan.org,Taiwan Ministry of Education,2026-02-06
Taiwan Government Scholarship,"Doctoral research funding in Taiwanese universities.",Taiwan,PhD,Fully Funded,March,3–4 years,https://www.studyintaiwan.org,Taiwan Ministry of Education,2026-02-06
Malaysian International Scholarship,"Malaysian government scholarship for outstanding international students.",Malaysia,Masters,Fully Funded,May,2 years,https://biasiswa.mohe.gov.my,Ministry of Higher Education Malaysia,2026-02-06
Malaysian International Scholarship,"Doctoral funding for research programs in Malaysia.",Malaysia,PhD,Fully Funded,May,3–4 years,https://biasiswa.mohe.gov.my,Ministry of Higher Education Malaysia,2026-02-06
Mexico Government Scholarship (AMEXCID),"Fully funded postgraduate scholarships for international students in Mexico.",Mexico,Masters,Fully Funded,September,2 years,https://www.gob.mx/amexcid,AMEXCID Mexico,2026-02-06
Mexico Government Scholarship (AMEXCID),"Doctoral funding for international researchers in Mexico.",Mexico,PhD,Fully Funded,September,3–4 years,https://www.gob.mx/amexcid,AMEXCID Mexico,2026-02-06
Kazakhstan Government Scholarship,"Government-funded program for international students in Kazakhstan.",Kazakhstan,Masters,Fully Funded,June,2 years,https://bolashak.gov.kz,Center for International Programs Kazakhstan,2026-02-06
