title,overview,country,degree,funding,deadline,duration,applyUrl,officialSource,lastUpdated
Brazil PEC-PG Scholarship,"Postgraduate funding for international students in Brazil.",Brazil,Masters,Fully Funded,June,2 years,https://www.gov.br/mre,Brazil Ministry of Foreign Affairs,2026-02-06
Argentina Government Scholarship,"Funding for international master’s students in Argentina.",Argentina,Masters,Fully Funded,July,2 years,https://www.argentina.gob.ar,Argentine Ministry of Education,2026-02-06
Argentina Government Scholarship,"Doctoral research funding in Argentina.",Argentina,PhD,Fully Funded,July,3–4 years,https://www.argentina.gob.ar,Argentine Ministry of Education,2026-02-06
Chile Government Scholarship,"Scholarships for international postgraduate students.",Chile,Masters,Fully Funded,June,2 years,https://www.agci.gob.cl,AGCID Chile,2026-02-06
Chile Government Scholarship,"Doctoral scholarships for international researchers.",Chile,PhD,Fully Funded,June,3–4 years,https://www.agci.gob.cl,AGCID Chile,2026-02-06
Peru Government Scholarship,"Scholarships for international undergraduate students.",Peru,Bachelors,Fully Funded,July,4 years,https://www.pronabec.gob.pe,PRONABEC Peru,2026-02-06
Peru Government Scholarship,"Postgraduate funding for international students.",Peru,Masters,Fully Funded,July,2 years,https://www.pronabec.gob.pe,PRONABEC Peru,2026-02-06
Colombia Government Scholarship,"Scholarships for international postgraduate students in Colombia.",Colombia,Masters,Fully Funded,June,2 years,https://www.icetex.gov.co,ICETEX Colombia,2026-02-06
Colombia Government Scholarship,"Doctoral research funding for international students.",Colombia,PhD,Fully Funded,June,3–4 years,https://www.icetex.gov.co,ICETEX Colombia,2026-02-06
Panama Government Scholarship,"Funding for international undergraduate studies.",Panama,Bachelors,Fully Funded,August,4 years,https://www.ifarhu.gob.pa,IFARHU Panama,2026-02-06
Panama Government Scholarship,"Master’s scholarships for international students.",Panama,Masters,Fully Funded,August,2 years,https://www.ifarhu.gob.pa,IFARHU Panama,2026-02-06
Costa Rica Government Scholarship,"Scholarships for international master’s students.",Costa Rica,Masters,Fully Funded,July,2 years,https://www.mep.go.cr,Costa Rica Ministry of Education,2026-02-06
Ecuador Government Scholarship,"Funding for international postgraduate students.",Ecuador,Masters,Fully Funded,July,2 years,https://www.educacionsuperior.gob.ec,Ecuador Ministry of Education,2026-02-06
Bolivia Government Scholarship,"Scholarships for international undergraduate students.",Bolivia,Bachelors,Fully Funded,August,4 years,https://www.minedu.gob.bo,Bolivia Ministry of Education,2026-02-06
Uruguay Government Scholarship,"Postgraduate scholarships for international students.",Uruguay,Masters,Fully Funded,August,2 years,https://www.gub.uy,Government of Uruguay,2026-02-06
Paraguay Government Scholarship,"Funding for international master’s students.",Paraguay,Masters,Fully Funded,September,2 years,https://www.mec.gov.py,Paraguay Ministry of Education,2026-02-06
Venezuela Government Scholarship,"Scholarships for international undergraduate students.",Venezuela,Bachelors,Fully Funded,September,4 years,https://www.mppe.gob.ve,Venezuela Ministry of Education,2026-02-06
Cuba Government Scholarship,"Medical and science scholarships for international students.",Cuba,Bachelors,Fully Funded,July,5–6 years,https://www.mes.gob.cu,Cuba Ministry of Higher Education,2026-02-06
Cuba Government Scholarship,"Postgraduate medical scholarships for international students.",Cuba,Masters,Fully Funded,July,2 years,https://www.mes.gob.cu,Cuba Ministry of Higher Education,2026-02-06
Jordan Government Scholarship,"Scholarships for international undergraduate students.",Jordan,Bachelors,Fully Funded,June,4 years,https://www.mohe.gov.jo,Jordan Ministry of Higher Education,2026-02-06
Jordan Government Scholarship,"Postgraduate funding for international students.",Jordan,Masters,Fully Funded,June,2 years,https://www.mohe.gov.jo,Jordan Ministry of Higher Education,2026-02-06
Iran Government Scholarship,"Scholarships for international undergraduate students.",Iran,Bachelors,Fully Funded,July,4 years,https://www.saorg.ir,Ministry of Science Iran,2026-02-06
Iran Government Scholarship,"Postgraduate scholarships for international students.",Iran,Masters,Fully Funded,July,2 years,https://www.saorg.ir,Ministry of Science Iran,2026-02-06
Armenia Government Scholarship,"Scholarships for international postgraduate students.",Armenia,Masters,Fully Funded,August,2 years,https://www.edu.am,Armenia Ministry of Education,2026-02-06
Georgia Government Scholarship,"Funding for international undergraduate students.",Georgia,Bachelors,Fully Funded,August,4 years,https://www.mes.gov.ge,Georgia Ministry of Education,2026-02-06
Azerbaijan Government Scholarship,"Scholarships for international master’s students.",Azerbaijan,Masters,Fully Funded,August,2 years,https://www.edu.gov.az,Azerbaijan Ministry of Education,2026-02-06
Uzbekistan Government Scholarship,"Scholarships for international undergraduate students.",Uzbekistan,Bachelors,Fully Funded,September,4 years,https://www.edu.uz,Uzbekistan Ministry of Education,2026-02-06
Uzbekistan Government Scholarship,"Postgraduate funding for international students.",Uzbekistan,Masters,Fully Funded,September,2 years,https://www.edu.uz,Uzbekistan Ministry of Education,2026-02-06
Kyrgyzstan Government Scholarship,"Scholarships for international undergraduate students.",Kyrgyzstan,Bachelors,Fully Funded,September,4 years,https://www.edu.gov.kg,Kyrgyzstan Ministry of Education,2026-02-06
Tajikistan Government Scholarship,"Postgraduate scholarships for international students.",Tajikistan,Masters,Fully Funded,September,2 years,https://www.maorif.tj,Tajikistan Ministry of Education,2026-02-06
Mongolia Government Scholarship,"Scholarships for international undergraduate students.",Mongolia,Bachelors,Fully Funded,August,4 years,https://www.meds.gov.mn,Mongolia Ministry of Education,2026-02-06
Mongolia Government Scholarship,"Postgraduate funding for international students.",Mongolia,Masters,Fully Funded,August,2 years,https://www.meds.gov.mn,Mongolia Ministry of Education,2026-02-06
